Additive,Type,Regulatory Status,Uses,CFR,,,,
Acacia (gum arabic),EMUL/STAB,REG,"Thickener, emulsifier, stabilizer","172.780, 184.1330",,,,
Acesulfame potassium,NNS,REG,Sweetener,172.8,,,,
Acetic acid,B&N/FEED,GRAS/FS,"Buffer, neutralizing agent, feed additive","133, 582.1005, 184.1005, 172.814",,,,
Acetic anhydride,MISC,REG,Modifying food starch,172.892,,,,
Acetone,SOLV,REG,Solvent,173.21,,,,
Acetone peroxides,BL,REG/FS,Bleaching agent,172.802,,,,
Acetyl-(p-nitrophenyl)-sulfanilamide,FEED,REG,Feed additive,See: Sulfanitran,,,,
N-Acetyl-L-methionine,NUTR,REG,Nutrient,172.372,,,,
Acetylated monoglycerides,EMUL,REG,Emulsifier,172.828,,,,
Acidified sodium chlorite solutions,REG,Microbial control agent,Sanitizing agent,173.325,,,,
Aconitic acid,SY/FL,GRAS/FS,Synthetic flavoring agent,184.1007,,,,
Acrolein,MISC,REG,Modifying food starch,172.892,,,,
Acrylamide,MISC,REG,"Clarifying agent, fixing agent","173.5, 173.357, 573.120",,,,
Acrylamide-Sodium Acrylate Resin,MISC,REG,Boiler water additive,"173.5, 173.310, 172.710",,,,
"Acrylic Acid 12-acrylamido-2,2-propionic sulfonic acid copolymer",BC,REG,Boiler water additive,173.31,,,,
Acrilonitrile copolymers,MISC,REG,,180.22,,,,
Adjuvants for pesticides use dilutions,ADG/PEST,REG,Adjuvant for pesticides,172.71,,,,
Adipic acid,"B&N/FEED, FLV",GRAS,"Buffer, neutralizing agent, feed additive, flavoring agent","582.1009, 184.1009",,,,
Adipic anhydride,MISC,REG,Modifying food starch,172.892,,,,
Agar-agar,MISC,GRAS/FS,Thickening agent,"184.1115, 135, 150",,,,
Aklomide,FEED,REG,Feed additive,"556.30, 558.35",,,,
DL-Alanine,FL/ADJ,REG,Flavor enhancer,172.54,,,,
L-Alanine,NUTR,REG,Nutrient,172.32,,,,
